time,x,y,cross_track_error
542.334295709,0.05608566633425017,0.002188711326546746,0.0402554651905478
542.35313571,0.06604951966870769,0.003037249981689832,0.038971843236910005
542.373909384,0.07600088140080515,0.004021592606573951,0.04008084646694603
542.394185008,0.08593831238239727,0.005137836374705547,0.04340262644551062
542.414276999,0.09586021481163175,0.006384626324395331,0.04848493738218356
542.434562298,0.10576581051557195,0.0077549921477699435,0.05484467792943701
542.454737237,0.11565372484252696,0.009247600121249465,0.062090460676121936
542.475291579,0.1255221857058902,0.010863814075238898,0.06994560709485352
542.496039321,0.13536941962149787,0.012604690741780182,0.07173777607016937
542.609015851,0.14519415753068646,0.014468372911027623,0.07192236070043906
542.610436445,0.15499617621026207,0.016448089761400088,0.07336477735435062
542.61150499,0.16477425196025358,0.018542865078665757,0.07599391927609866
542.612373566,0.17452703424519253,0.02075240953510434,0.07969207842442812
542.61329949,0.1842531760231119,0.02307641795122724,0.08431824134882875
542.617148653,0.19395133393159777,0.025514569337928217,0.08972840326567205
542.637353846,0.20362016847333284,0.028066526940818248,0.09578913765929138
542.658053643,0.21325838432732874,0.030731796084957127,0.09782017209421334
542.677851287,0.22286695018261035,0.033502094639715325,0.09809633080526912
542.69766253,0.23244607364161424,0.03637254506341913,0.09928024463994865
542.718829114,0.24199528218133676,0.03934101454415998,0.10134182485050021
542.73875243,0.2515152628140397,0.042401927977777976,0.10423400994722856
542.759700462,0.26100527555501224,0.045554528797624574,0.10789021537980992
542.778754469,0.27046546281276845,0.04879553967185652,0.11223826307124195
542.79915193,0.27989542775356036,0.05212346029202463,0.11720191777280844
542.819759003,0.2892946576743901,0.05553722750634526,0.11762807809728162
542.839594788,0.29866296995280567,0.05903494945028859,0.11779276133880316
542.860537757,0.3079997044709902,0.06261611354326875,0.11871358823252716
542.880303219,0.3173052601269163,0.06627753832336346,0.12037618194083251
542.901306352,0.32657934659907323,0.07001795509062189,0.12275131806314463
542.920988554,0.3358217838929177,0.0738359122091585,0.12579968095437558
542.941238071,0.3450327868791093,0.07772909479072543,0.1294755571889579
542.962527844,0.3542118914931089,0.0816969033389167,0.13259217630731096
542.98256031,0.3633597337388048,0.08573627009023742,0.13192542872468035
543.00210193,0.3724760609492427,0.08984626762016888,0.131937694776306
543.118581623,0.3815609914088542,0.09402521339690746,0.13263035909252974
543.120281011,0.39061498058356975,0.09827077939329563,0.13399510182769828
543.121543972,0.39963763140160774,0.1025825461539381,0.13601182669078507
543.122490093,0.4086290793491928,0.10695901016873853,0.13865333264218277
543.123187053,0.417588987082336,0.11139968881963569,0.14188486450899676
543.123953956,0.4265168960037103,0.11590435481819986,0.14207035096266152
543.145607977,0.435412349153792,0.12047277760091976,0.14131344586438385
543.165984452,0.44427584523792996,0.12510290649503938,0.1411926829018183
543.185820771,0.45311090928414366,0.12978706510424962,0.1417180990007143
543.206456587,0.46191764953737585,0.1345242610632166,0.14288346341273658
543.225984765,0.4706966226048452,0.13931272226187172,0.14467505390290678
543.246398231,0.4794481347859842,0.14415118930358525,0.1470711319968618
543.277131938,0.48817229576327514,0.149038803319904,0.14862827849458757
543.286588176,0.496870461711098,0.15397253200793853,0.1472327095863137
543.306259238,0.5055425813992125,0.1589519005575529,0.14645543352559323
543.326567274,0.5141892590029926,0.1639753215896253,0.1463080037161488
543.347716758,0.52281075914418,0.169041832002591,0.14679328426257365
543.368845861,0.5314075710063071,0.1741501243885644,0.14790639633290537
543.388347501,0.5399812214885864,0.17929719622944876,0.14963659328115608
543.408135788,0.5485316526057371,0.18448274938723747,0.15196298204253145
543.429059497,0.5570595308611157,0.1897053101244287,0.15028910012030358
543.449376208,0.5655650409459297,0.1949642212654663,0.14895828486233142
543.470131361,0.5740487923200344,0.20025816497121973,0.14825014530618932
543.490142295,0.5825125167676625,0.20558406873820842,0.14817714383141734
543.509760165,0.5909562277075697,0.2109416456805818,0.1487404656407401
543.53087363,0.5993805704186375,0.2163296271673957,0.1499343312669931
543.551293105,0.6077856999323548,0.22174753197215255,0.15174432122427037
543.570593112,0.6161719886086429,0.2271945560132865,0.1509314201625054
543.590859346,0.6245403260935952,0.23266911882513788,0.14913578742457864
543.61175441,0.6328907965002191,0.23817089677719666,0.14796306923271824
543.631607775,0.6412250320331292,0.24369723826213968,0.14743125549663694
543.652497877,0.6495434614046488,0.24924734320864886,0.14754818405463005
543.672601456,0.6578463682430422,0.25482064359167234,0.14831294572028908
543.692414545,0.6661342011240271,0.26041633527902663,0.14971651119341323
543.713039578,0.6744072038378366,0.2660339303986137,0.14954904965854135
543.733921636,0.6826675370105704,0.2716701398127114,0.1473634815092074
543.754123817,0.6909156084722704,0.2773242779297741,0.14581078380040186
543.774438394,0.6991516923279184,0.2829958639228602,0.14491185934454323
543.793955025,0.7073761321972808,0.2886843218703026,0.14467956807063614
543.813906021,0.7155890091161304,0.2943894616912264,0.14511731407906378
543.834902701,0.7237909788929456,0.30011027125245365,0.1462202707618683
543.854592867,0.7319821301242266,0.3058465602852939,0.14650822694988766
543.876416422,0.7401639056722648,0.3115962152350712,0.14400215554961895
543.897107818,0.7483374984763085,0.31735749667531254,0.1421428349670152
543.917192963,0.7565030411467228,0.3231301821911552,0.14095612210213077
543.938075631,0.7646610319888482,0.3289135351413787,0.1404599576350554
543.957672116,0.7728115315156352,0.3347074408161944,0.14066177842678473
543.978040701,0.7809562651974403,0.3405094497463535,0.14156157157813312
543.998125311,0.7890962266696637,0.34631815197696286,0.14210582663624802
544.01846328,0.7972315178596676,0.3521333933650609,0.13935190248063553
544.038633557,0.8053624450555487,0.3579547349878569,0.13726547820965965
544.059463303,0.8134890304630289,0.36378213621338357,0.1358773530204502
544.079437653,0.8216114241411596,0.36961537860151505,0.13520930153449046
544.099691991,0.829729685167097,0.37545437112899643,0.13527210123811412
544.120105059,0.8378446348245995,0.3812979651709058,0.1360661426899439
544.13953229,0.8459582884785688,0.38714335857335264,0.1366275157355363
544.159402523,0.8540707410887882,0.3929904187152812,0.13368809276426527
544.18071025,0.8621820497072732,0.3988390657543479,0.13144363487570282
544.200659387,0.87029223383211,0.4046892720031085,0.12993019598392377
544.220916824,0.8784022144510225,0.41053976034246464,0.12917504675839625
544.240926831,0.8865138911882062,0.4163878967770567,0.12919472980369845
544.261509149,0.8946273162748649,0.42223360739503896,0.12998898301203848
544.281485294,0.9027424340891559,0.4280769679156637,0.1302860544579062
544.301341828,0.9108592280136688,0.43391799999064234,0.12723679662651652
544.322074289,0.9189787102043155,0.4397552942611482,0.12492028368252099
544.34311216,0.9271026369472528,0.44558640130612853,0.12338079067639196
544.362445103,0.9352310173474732,0.4514112985010265,0.12264760552872284
544.383303636,0.9433636833265516,0.4572302107392313,0.12273489912295206
544.402888352,0.9515005907747439,0.46304319041773656,0.12364086589641979
544.42382666,0.9596416370461173,0.4688503723173941,0.12331932694311444
544.444758193,0.9677866987964386,0.4746519208258144,0.12024370761092656
544.464534569,0.9759361116498985,0.4804473554840648,0.11794566495706303
544.484204058,0.9840919078151863,0.4862338032439575,0.11647473500026846
544.505037515,0.9922544160065431,0.492010778992664,0.1158630113341368
544.525131833,1.0004234578824083,0.49777851204862467,0.11612378456359951
544.545779504,1.0085988851962542,0.5035371905437717,0.1172509967576464
544.565509863,1.0167810852570585,0.5092862414570204,0.11586157854729708
544.58563618,1.0249720077531224,0.5150228579030502,0.11284907937704979
544.605769699,1.0331718968196413,0.5207466502592543,0.11067670961416488
544.626774181,1.0413804816188013,0.5264579650886622,0.10939409863910021
544.648004946,1.0495975712733188,0.532157036863542,0.10903235268661655
